price_cad,bedrooms,bathrooms,availability_date,transit_min_to_ubc,neighborhood,address_or_postal,address_text,source,source_listing_id,url,title
4340,4.0,,,16,Point grey,"4443west 8th, vancouver, BC V6R2A3","4443west 8th, vancouver, BC V6R2A3",craigslist_van,7925535333,https://vancouver.craigslist.org/van/apa/d/vancouver-4bedroom-ground-floor-suite/7925535333.html,4bedroom ground floor suite near UBC
5980,4.0,,,27,Vancouver,"Approx map: 49.255766, -123.182144","Approx map: 49.255766, -123.182144",craigslist_van,7931594590,https://vancouver.craigslist.org/van/apa/d/vancouver-lord-byng-catchment-rooftop/7931594590.html,Lord Byng Catchment | Rooftop Deck with Views | Spacious 4BR Family Ho
5000,4.0,,,61,city of vancouver,"Approx map: 49.260000, -123.039800","Approx map: 49.260000, -123.039800",craigslist_van,7931585821,https://vancouver.craigslist.org/van/apa/d/vancouver-whole-house-to-rent-renfrew/7931585821.html,Whole house to rent Renfrew and 1st area
6000,4.0,3.0,,21,Point Grey,"41st Ave, Vancouver, BC V6N1Z1","41st Ave, Vancouver, BC V6N1Z1",craigslist_van,7931563746,https://vancouver.craigslist.org/van/apa/d/vancouver-newly-crafted-vancouver-west/7931563746.html,Newly Crafted Vancouver West 1500SF 4bed 3bath Laneway available NOW!
4010,4.0,,,49,Vancouver,"E 12th Ave, Vancouver, BC V5T2H8","E 12th Ave, Vancouver, BC V5T2H8",craigslist_van,7931535393,https://vancouver.craigslist.org/van/apa/d/vancouver-quiet-triple-glazed-windows/7931535393.html,Quiet Triple-glazed Windows Big Yard near Express Buses
4600,4.0,,,16,Vancouver,"Alma, Vancouver, BC V6R3S2","Alma, Vancouver, BC V6R3S2",craigslist_van,7931137078,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-apartment-in-kitsilano/7931137078.html,4 bedroom apartment in Kitsilano
5000,7.0,,,76,Vancouver,"Approx map: 49.278900, -123.036200","Approx map: 49.278900, -123.036200",craigslist_van,7931013730,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-on-main-floor/7931013730.html,7 Bedrooms on Main Floor
4500,4.0,,2026-04-29,49,Oakridge,"82 West 45th Avenue, Vancouver, BC, V5Y 2V9","82 West 45th Avenue, Vancouver, BC, V5Y 2V9",padmapper,64223378,https://www.padmapper.com/rentals/28423702p/4-bedroom-2-bath-apartment-at-82-west-45th-avenue-vancouver-bc-v5y-2v9,
4900,4.0,,2026-06-01,50,Riley Park - Little Mountain,"4359 Main Street, Vancouver, BC, V5V 3R1","4359 Main Street, Vancouver, BC, V5V 3R1",padmapper,59887444,https://www.padmapper.com/rentals/28177301p/4-bedroom-2-bath-apartment-at-4359-main-street-vancouver-bc-v5v-3r1,
5400,4.0,,2026-09-01,52,Riley Park - Little Mountain,"4285 St George St, Vancouver, BC, V5V 4A3","4285 St George St, Vancouver, BC, V5V 4A3",padmapper,64310024,https://www.padmapper.com/rentals/64310024/4-bedroom-2-bath-apartment-at-4285-st-george-st-vancouver-bc-v5v-4a3,
4500,5.0,,2026-06-01,43,South Granville,"1735 62nd Ave W #1, Vancouver, BC, V6P 2G1","1735 62nd Ave W #1, Vancouver, BC, V6P 2G1",padmapper,64251534,https://www.padmapper.com/rentals/28391103p/5-bedroom-4-bath-apartment-at-1735-62nd-ave-w-vancouver-bc-v6p-2g1,B3862 1735 W 62 Ave - 1
6500,5.0,,2026-05-01,34,Dunbar,"Camosun St & W 28th Ave, Vancouver, BC, V6S 1S8","Camosun St & W 28th Ave, Vancouver, BC, V6S 1S8",padmapper,62284509,https://www.padmapper.com/rentals/62284509/5-bedroom-3-bath-apartment-at-camosun-st-w-28th-ave-vancouver-bc-v6s-1s8,
3800,4.0,,2026-05-16,68,Victoria-Fraserview,"2300 Harrison Drive, Vancouver, BC, V5P 2P8","2300 Harrison Drive, Vancouver, BC, V5P 2P8",padmapper,64087176,https://www.padmapper.com/rentals/64087176/4-bedroom-2-bath-apartment-at-2300-harrison-drive-vancouver-bc-v5p-2p8,
1125,5.0,,2026-05-01,15,West Point Grey,"4615 West 4th Avenue, Vancouver, BC, V6R 1R6","4615 West 4th Avenue, Vancouver, BC, V6R 1R6",padmapper,64039717,https://www.padmapper.com/rentals/64039717/5-bedroom-2-bath-apartment-at-4615-west-4th-avenue-vancouver-bc-v6r-1r6,
3499,4.0,,2026-05-01,55,Grandview-Woodland,"E 6th Ave & Nanaimo St, Vancouver, BC, V5N 5C7","E 6th Ave & Nanaimo St, Vancouver, BC, V5N 5C7",padmapper,63622948,https://www.padmapper.com/rentals/63622948/4-bedroom-1-bath-apartment-at-e-6th-ave-nanaimo-st-vancouver-bc-v5n-5c7,
3300,4.0,,2025-10-01,47,Oakridge,"720 West 54th Avenue, Vancouver, BC, V6P 0A8","720 West 54th Avenue, Vancouver, BC, V6P 0A8",padmapper,62388259,https://www.padmapper.com/rentals/18671490p/4-bedroom-2-bath-apartment-at-720-west-54th-avenue-vancouver-bc-v6p-0a8,
5500,5.0,,,39,Oakridge,"1458 45th Ave W, Vancouver, BC, V6M 2H1","1458 45th Ave W, Vancouver, BC, V6M 2H1",padmapper,64295278,https://www.padmapper.com/rentals/28436450p/5-bedroom-3-bath-apartment-at-1458-45th-ave-w-vancouver-bc-v6m-2h1,
